topic_id,number_of_words_in_topic
34624,8
34623,6
34622,7
34620,9
34621,8
34619,10
34617,6
34618,8
34616,12
34615,11
34614,7
34613,6
34612,8
34708,12
34693,9
34685,7
34683,9
34669,8
34655,10
34654,7
34625,8
34611,10
34610,11
34609,6
34608,6
34607,10
34606,10
34605,7
34604,10
34603,9
34602,7
34601,10
34600,8
34599,10
34598,8
34597,12
34664,11
34596,5
12823,8
34768,8
34767,13
34766,8
34765,7
34764,10
34763,9
34762,9
34761,11
34760,13
34759,9
34758,8
34757,8
34756,8
34755,10
34754,11
34753,12
34752,8
34751,8
34750,12
34749,11
34747,11
34746,10
34745,11
34744,10
34743,8
34742,10
34741,8
34740,12
34739,11
34738,9
34737,7
34736,6
34735,9
34734,8
34733,10
34732,8
34731,8
34730,8
34729,13
34728,8
34727,10
34726,9
34725,11
34724,8
34723,8
34722,10
34721,11
34720,9
34719,8
34718,9
34748,8
34717,8
34716,13
34715,11
34714,8
34713,10
34712,9
34711,13
34710,11
34709,5
12822,5
12821,7
12819,7
12820,7
12818,6
46524,4
12817,5
12816,6
12815,5
12814,5
12812,7
12813,6
12811,5
12810,6
12809,7
12808,6
12807,5
46113,7
12573,5
34595,9
34591,8
34581,12
34594,8
34593,11
34590,10
34589,10
34588,12
34587,12
34585,8
34584,10
34583,9
34582,11
34580,9
34579,13
34578,12
34577,8
34576,9
34575,9
34573,11
34572,9
34571,9
34592,9
34586,10
8564,3
893,9
24126,2
1754,9
8064,1
10724,1
34574,12
34569,13
34568,9
34570,9
34567,6
12806,6
12755,6
12740,5
12670,6
12655,6
12527,5
4593,5
5707,4
39488,6
36383,7
39485,7
39487,7
39486,8
39618,4
5706,5
5705,5
5710,6
16687,6
16412,6
12333,2
16268,4
16377,8
1846,6
28,5
10076,5
15043,2
40761,6
31955,3
3010,1
6861,2
38289,1
5304,1
13238,1
8024,1
19822,4
12790,2
10116,3
9349,9
35114,3
10767,6
35625,5
403,3
25587,3
36712,2
43296,5
42375,3
38830,5
22325,2
26311,2
26747,3
42487,5
42485,6
44795,4
42486,5
42484,2
44794,4
19715,9
10319,3
24876,3
46521,2
46520,1
38655,2
44105,3
27413,2
14071,3
9687,2
38654,2
35388,2
593,2
42868,3
35136,2
39489,4
24819,5
35400,2
42483,2
1222,2
1231,2
8954,10
42254,4
932,2
12239,7
12222,6
23089,1
35939,3
46001,4
33599,8
28920,5
12223,4
35733,2
33594,4
31686,5
35399,2
2754,19
12232,7
43934,7
35396,2
35734,1
30618,3
44123,6
44143,3
12215,7
15047,9
12229,10
44121,7
16075,3
45699,2
10346,1
44162,2
12208,2
34079,2
12209,2
45665,2
8226,2
44337,2
40973,8
15237,3
32831,2
46519,2
42116,4
12233,9
15474,2
46518,3
32364,2
15473,3
37671,1
44153,12
21638,1
38422,1
36867,7
5743,5
43165,5
42986,5
43182,9
605,4
6520,3
16185,7
45926,2
37652,2
23086,2
27953,3
17896,7
17895,4
4630,2
1261,4
25860,3
29833,6
25857,2
12466,3
12205,3
32784,7
13135,3
28336,5
28366,2
28365,2
1226,1
24880,5
27411,2
17884,4
28881,3
44098,1
12148,4
28362,4
29480,7
29645,7
7561,5
28997,4
42954,4
42950,5
13134,2
26233,8
8541,1
596,7
6656,3
10314,2
20812,1
6655,4
6418,2
21634,6
3574,6
8963,9
23410,1
8219,4
595,6
594,6
8799,4
15468,2
10307,2
38990,8
38652,2
21116,1
14065,2
31770,2
11268,3
12196,3
39943,6
38650,2
35380,2
2742,2
35716,7
2894,2
29829,5
23648,3
36408,6
12194,8
21624,4
6182,4
28874,4
13601,2
26368,2
20115,9
36404,3
16790,6
15465,2
20412,2
11266,2
27951,6
23080,3
35373,2
14379,3
14063,3
38986,3
17876,3
23473,3
8925,10
19909,6
23471,6
36661,3
39309,6
25325,2
44827,7
44826,5
44825,5
44828,7
44824,3
22990,3
5126,1
19788,4
42106,4
31641,5
31640,2
16311,7
16310,10
33459,3
28658,8
26139,2
29622,1
297,2
25895,2
25425,3
25423,4
10393,2
20299,2
19980,8
5165,2
1295,2
9035,1
3658,2
3657,1
21726,1
39984,4
39980,3
39988,4
39987,3
2812,2
39969,2
23826,11
8299,2
27979,3
16460,11
41190,1
5162,7
28143,4
28266,4
2806,4
44184,4
27975,4
2291,2
17931,1
35411,3
3654,2
38669,2
14403,2
35138,5
38667,2
36992,3
46514,2
15768,3
35409,2
43028,5
13212,3
36990,3
39963,6
5794,3
13211,3
43024,5
5792,2
12262,9
46072,2
11362,5
11361,6
11360,3
27973,4
15087,5
44363,4
20382,3
34156,2
23115,3
23696,2
46513,3
33888,2
34145,3
18573,5
18568,4
18567,5
18563,4
34143,2
18720,2
18301,2
18719,2
30684,1
26951,2
11354,3
10929,6
1289,2
6428,2
41091,2
3649,5
38666,2
22558,2
13209,2
22583,1
28019,5
19947,2
28969,5
20893,9
20895,5
20897,2
20886,6
20885,5
20883,4
20884,4
43018,2
20881,5
26607,5
37717,2
35405,2
11349,3
30672,4
23109,2
25880,2
29879,6
35951,2
39518,4
41186,2
40439,3
29878,5
27969,5
27968,4
3635,2
14081,2
4669,1
27398,4
3550,2
10283,3
3546,4
8924,2
15463,2
575,2
27948,5
7069,2
568,1
2729,1
42908,10
24870,2
41988,6
6416,2
35369,2
14674,2
12192,6
41149,3
15034,8
38647,2
38646,2
35122,3
17034,2
27947,5
46511,2
1896,2
11257,2
14055,2
29816,7
14056,3
31754,6
31753,4
35933,2
98,2
12189,6
46510,2
21722,3
21723,7
46509,1
41539,2
20806,6
27946,6
24869,2
14376,3
35365,2
8217,1
29808,6
25844,3
6413,4
38981,4
25843,5
3786,3
5717,5
27945,6
27944,10
38980,4
27394,3
15021,4
15288,7
14669,7
27935,8
27936,5
28138,11
17412,2
9670,2
10272,3
29807,9
43952,4
26894,1
35142,3
17982,3
17984,6
17983,9
12184,4
35361,2
27391,3
35360,2
23457,3
34055,2
23455,2
41316,1
8909,8
8908,3
14051,2
6174,1
31747,3
31708,3
31746,3
31745,4
2238,2
26366,2
30588,2
17851,5
28349,5
1218,2
25796,3
9673,4
1206,3
1166,2
1388,5
1386,5
28865,6
35356,2
21069,2
20800,5
9662,2
11250,6
11249,8
11248,8
11246,7
11245,6
11244,7
11243,6
11242,6
11241,6
11240,7
11239,9
11238,5
11237,6
11236,5
11235,7
11234,9
11233,5
11232,6
11231,6
11230,7
11229,3
11851,9
10951,5
10857,5
44758,4
14047,2
42894,6
42893,6
32437,2
19982,3
14367,3
17028,3
40394,10
35351,2
14046,3
9660,3
21601,7
11226,7
11224,6
11223,6
11222,6
11220,11
11219,6
11217,10
11216,11
11221,6
11218,6
11215,6
11213,5
11212,7
11211,3
2231,2
549,2
14045,2
27927,4
27926,4
27925,6
11210,3
26891,1
547,1
22498,5
7055,4
8892,5
8891,5
8902,4
16792,6
22391,1
41561,4
1865,2
2431,2
20795,3
38975,4
11208,5
11205,5
27381,3
14132,2
14041,2
9654,2
17025,2
35706,1
36499,1
24863,7
24862,8
24861,7
17834,2
33558,4
30725,3
38974,2
39064,2
27380,2
9652,6
5704,4
7710,3
35349,3
27379,2
5287,4
5149,6
6171,1
8192,3
42205,6
44603,2
13096,3
19889,6
9650,2
14038,2
27375,3
24857,8
40468,3
40377,4
1181,1
15452,1
38406,2
3497,2
40806,9
31736,3
38964,3
35111,3
2227,2
14661,2
35346,2
46508,4
14036,2
14361,9
15001,5
5148,1
5146,8
17018,6
15451,3
15450,2
17401,3
2708,2
40372,6
11196,7
6438,2
9094,8
27918,5
21783,5
21935,4
2707,2
9646,3
27373,2
36131,3
24928,2
35925,10
25275,4
24847,7
24844,5
24846,4
35923,6
35922,6
46506,9
26588,4
35921,11
26587,5
46505,6
35920,6
26586,7
24839,5
24838,6
35918,8
35928,2
26596,3
41132,1
12181,2
16987,2
275,1
16986,2
27372,2
24242,2
3492,1
17396,2
18453,1
3785,2
29790,7
25836,5
25833,5
25832,5
29779,5
23058,2
22478,4
23435,3
27369,2
9128,8
8967,8
20650,2
5386,4
29778,9
30544,6
35343,3
9639,1
26691,11
12178,3
41542,4
41541,5
41540,5
38953,8
21586,4
2347,7
27912,5
35941,3
1886,2
41128,3
2699,3
11188,6
29775,7
20333,3
3351,4
46504,5
14253,2
9867,2
1514,2
1513,9
3475,3
24820,2
27910,4
27909,4
27908,5
13079,1
13078,2
32757,4
7698,4
29771,6
35335,2
17930,1
9635,3
35333,2
39483,5
33199,2
9634,2
34017,6
10246,1
28831,4
28833,5
28832,5
28830,2
27361,4
27904,4
8184,2
18557,8
46502,5
25368,4
26709,6
3468,2
25827,3
42146,2
42171,2
42198,2
38938,2
35854,5
2221,4
2220,3
2219,5
2217,2
31721,4
15436,2
15069,4
35855,4
10242,1
13602,1
16931,5
24910,3
16974,5
11904,2
14029,2
42836,4
31277,5
5648,4
7988,2
7860,3
33104,2
31261,3
31249,3
8580,7
19518,1
18411,6
8025,1
17403,6
9987,1
16980,12
8023,1
9986,1
8022,1
8021,1
31553,7
18421,6
5154,2
3037,6
38574,2
7672,1
38405,2
46055,2
38401,4
31720,3
31251,4
46501,1
24818,2
28808,3
11204,1
46500,3
12179,4
17816,2
17114,1
23877,3
14028,3
13076,3
8540,5
19879,1
37139,2
37138,2
38756,2
19874,6
44072,6
44074,7
1884,6
26358,4
24526,7
24225,4
38638,2
5139,1
27901,5
27358,2
31211,1
40334,4
40311,3
40332,4
16387,7
37422,3
16381,6
19148,1
29756,5
22130,1
31238,3
27356,3
12295,5
12172,5
31717,5
35331,2
38917,6
38637,3
37535,4
21541,4
1152,2
12171,4
1151,2
11157,5
24010,2
14987,5
13073,2
44067,12
29749,5
26169,5
15433,6
39342,2
38913,6
14980,3
5433,1
14819,4
14818,3
14817,5
46498,2
38635,3
15224,7
11127,6
12773,5
6926,3
17814,1
30525,1
8864,9
11099,2
7981,6
14347,3
6400,2
27897,4
18222,4
18808,6
5384,2
3459,2
42806,2
31713,4
44930,4
44926,7
8859,2
14026,2
38634,3
22430,2
46496,2
46497,2
10175,1
571,4
41528,4
32316,3
17375,3
44298,6
44303,4
27895,6
5144,3
31022,3
38399,10
11933,7
21504,4
12167,4
25757,2
44387,5
28552,4
17810,4
26568,10
35970,3
26648,10
26555,6
46494,7
29737,5
24779,1
25823,3
35101,3
36339,4
1145,1
29736,3
44043,3
32651,3
26355,5
31231,5
10126,5
20315,1
38633,2
30765,2
35330,2
45611,2
23039,2
25819,2
27894,3
6866,4
11103,4
3450,4
16372,2
16369,3
16370,7
16371,5
42793,2
36582,2
14964,4
14961,5
14949,4
42792,2
7018,2
3448,2
26863,6
44599,2
9621,2
8177,2
9802,2
45609,2
13016,2
20762,4
46493,3
5933,4
27891,3
12164,6
14946,5
14945,6
834,7
835,8
26157,4
38730,2
17366,5
26158,6
17374,8
27890,5
2207,1
23033,3
41963,1
41107,1
21500,2
35328,3
12163,3
12162,5
21497,3
30500,7
11097,6
528,5
45598,4
45429,1
43894,4
18415,4
35327,2
5676,2
5782,5
38631,2
1141,1
12134,7
46492,10
4551,4
28174,5
3439,5
26534,5
40641,1
26575,5
26526,5
26522,6
26520,3
26518,4
29941,4
7649,2
21823,2
21588,3
12156,5
30496,1
11095,2
4546,7
19866,7
45587,3
24212,5
33527,4
28331,6
4540,3
44032,9
33996,10
19128,2
11091,6
11090,6
11089,6
11086,6
35908,2
29731,6
24940,2
29732,5
41818,4
39473,7
39463,4
25786,2
45584,4
8848,3
35323,2
12155,7
44027,8
44028,10
41961,2
26151,5
26252,6
26254,5
26255,5
26253,5
46490,3
12175,7
12177,5
12176,6
12268,5
31706,2
15419,2
30491,5
21209,11
26776,4
20750,6
26250,7
26249,6
26248,5
26247,5
26246,4
26245,5
26244,6
26243,6
26242,9
2985,3
21582,3
37462,5
31965,5
45504,3
2204,5
5141,2
5143,2
26847,4
8843,6
17812,1
14022,2
16902,2
29605,5
20601,3
29607,7
29608,6
37376,3
1081,2
8120,1
9641,1
35272,2
19608,1
20140,5
12644,7
3281,2
8675,4
46488,2
35076,3
40240,3
40239,3
29604,6
272,1
28638,1
35270,2
20240,2
45468,2
26131,3
32244,4
10866,2
29603,5
33918,3
15764,2
28568,2
31622,3
45871,2
11964,2
262,1
261,3
8112,1
45898,6
45615,5
35268,2
22365,1
735,3
35748,1
19054,3
10865,3
15373,3
5575,2
7526,3
30770,4
10864,2
35266,2
13991,3
33915,3
35265,2
7525,3
35073,3
37369,2
30221,6
26491,5
26490,7
9678,2
27834,4
1078,2
15372,2
42615,4
12484,4
12059,6
12058,6
17771,1
24774,1
8660,3
7501,1
10069,4
31194,3
43901,7
2555,3
37367,2
20238,3
15370,2
21346,4
21345,9
29593,12
27263,1
19775,2
31615,5
8107,1
15782,5
27604,2
10862,2
46114,3
32664,3
15437,2
32663,7
32662,5
9548,2
10861,5
10859,5
10860,4
6908,2
20648,10
16298,1
16423,7
2591,1
14296,3
3252,3
21337,3
8657,3
3748,1
3750,2
3749,2
9547,2
24691,2
7546,1
46487,2
6371,4
5337,1
46486,3
41424,9
41413,6
20647,3
11928,4
29587,4
8512,3
26770,3
27825,12
5130,5
1067,1
22978,1
15442,8
24060,2
4446,4
46484,1
29583,7
6086,3
18273,1
13983,2
37365,4
31607,4
31608,6
37364,2
37363,2
37362,2
37361,3
37360,3
37359,4
37358,3
37357,3
37356,3
37355,3
37353,2
37352,2
16291,2
37350,2
37349,3
37348,3
37347,3
37346,3
37345,4
37344,3
37343,2
37342,2
43893,7
37341,3
37351,3
37354,3
42591,2
42589,2
42590,5
124,1
19773,4
19772,5
13982,2
31603,2
46082,3
46482,2
9918,2
35647,10
35648,10
35646,10
9545,2
3848,4
25656,2
21334,4
27525,2
30310,4
31601,2
18266,8
18268,2
18881,5
3114,1
1731,3
8472,1
8398,2
9542,1
9541,1
9539,1
6902,1
8080,8
106,5
30690,1
12056,4
24688,2
46077,6
30307,8
29579,6
29574,4
29578,6
29577,8
29575,5
29576,6
22973,3
8648,2
7505,2
31599,2
20233,3
38790,4
39054,3
39285,4
20517,2
39001,7
39000,7
30644,8
38998,4
38997,2
38996,2
13140,3
7632,5
38791,6
39835,3
46480,8
33894,3
42585,5
8108,1
3324,3
14002,3
43929,6
43918,7
32686,2
32685,2
29619,8
29621,5
46478,2
29618,3
14118,2
15123,4
4476,2
19070,3
15392,2
31636,5
14052,2
16538,10
28124,14
3316,4
1094,2
5584,7
5585,9
5583,6
5582,3
25699,2
21368,7
10087,1
14862,14
12102,9
12100,8
12401,5
46477,2
24412,7
12093,12
12135,7
12399,3
12193,6
12027,2
12076,5
36061,3
36026,3
35876,3
12763,7
46131,2
12725,2
13109,6
46083,1
29615,4
25785,2
6377,2
33934,2
17924,1
31635,2
35279,2
27284,3
9568,2
36262,4
2574,6
33449,7
8701,10
6924,8
8699,6
8698,18
8696,8
8695,9
8694,3
8887,3
46127,1
8885,2
42100,9
28653,13
8691,8
9565,3
45480,10
42099,5
6480,2
45479,6
17294,3
35278,2
45477,4
26239,12
14657,2
10877,7
10878,6
5123,1
35659,1
21359,6
19784,5
19839,5
46125,2
19840,8
9564,2
24283,2
33931,7
35275,2
12065,3
12062,3
12419,5
19702,2
25165,3
42656,1
1090,1
4471,2
27325,2
33132,3
39432,4
41436,7
40765,3
3283,1
3287,3
3286,3
3285,3
3873,2
31203,13
1089,2
3302,2
4469,7
29613,3
7537,5
31124,2
14000,2
26791,4
22986,5
46080,3
41043,1
38802,3
31628,3
43109,4
43740,3
43728,4
35572,2
13890,1
43621,2
42439,5
43494,2
46124,4
43427,1
43398,6
43297,2
46123,5
43255,6
35174,3
42874,3
42880,4
42881,3
42876,3
42879,4
42878,4
42877,4
42875,4
42812,2
6142,1
43742,5
42490,2
42818,2
42443,6
43892,2
38610,2
30802,1
23541,6
14880,9
36844,3
1093,4
1083,2
2568,1
13353,6
17287,4
17286,3
29609,4
15374,2
35792,1
13534,1
33099,7
32722,4
32667,3
35274,3
26785,4
33143,1
46120,3
25678,9
16081,2
37377,2
25689,2
18287,2
30875,2
12648,6
3295,4
43661,5
33937,7
31504,9
31202,11
4467,3
2542,1
27246,1
21311,3
21305,1
33124,4
12610,1
41323,3
1021,1
12241,6
33723,7
16497,8
20630,2
25945,2
38580,4
46089,4
46119,2
43393,5
3234,7
20232,3
33127,2
44157,4
43887,9
41038,1
4298,2
12704,3
44096,2
4991,1
25650,2
26551,7
26486,7
26485,7
26563,7
26484,7
26557,8
26483,7
26482,7
26707,5
26481,7
26480,9
26579,5
26697,2
26479,7
17792,1
26504,5
26478,7
46118,5
14075,2
26768,1
29570,6
29569,3
35254,2
22426,3
2543,2
16285,1
38348,5
46117,5
42764,4
42543,5
1818,2
38341,3
38339,1
3609,2
27807,9
27805,6
27803,9
27801,9
27800,4
27799,8
27798,6
27797,6
27796,8
27794,8
27793,8
27792,4
27791,10
27790,5
27778,9
27777,7
5577,6
31850,2
31946,3
31764,5
31726,5
31698,3
31639,4
38738,2
31612,7
9640,2
35261,2
41920,3
9556,3
13997,2
26487,6
26488,2
9558,2
19019,1
5114,2
15969,7
19774,3
38523,3
45452,6
5121,1
38337,2
994,1
26799,2
6492,3
14104,2
5828,2
25906,4
2242,2
9488,1
2113,8
871,1
8392,4
38397,3
36764,4
360,1
362,4
361,1
3310,5
33656,3
286,5
5311,1
46013,5
19678,2
1578,2
39363,4
10758,5
46116,6
28273,5
18096,1
34230,4
35866,4
15534,2
10853,14
1062,2
31592,4
33125,3
27822,3
29564,6
46115,1
21856,2
7167,2
12258,1
30298,6
30299,4
46094,2
27242,2
10852,2
30088,3
19649,3
16870,6
31590,3
25929,2
14608,11
45441,4
5332,1
10851,2
38594,2
9532,3
35836,3
2010,2
17922,1
4071,3
12606,7
13345,3
35340,2
24239,2
9638,3
17623,3
34474,6
3638,2
11454,2
35251,3
36107,3
17197,2
21322,3
27650,2
10850,2
46057,2
35247,3
23335,4
5339,1
6083,2
27239,3
2134,1
44532,1
44675,2
44687,4
9538,1
38602,3
9537,1
30,1
44537,4
8088,1
11348,2
16107,6
14626,4
30341,7
10868,2
26329,2
12064,4
25672,3
1603,3
445,10
31598,2
36724,6
9530,2
38591,3
44527,2
32228,2
3222,2
6081,2
13976,2
31587,2
39373,5
5561,2
6080,2
36810,5
36809,3
36568,1
5560,2
6555,7
686,5
30289,3
41383,1
27816,8
21317,5
21321,4
44099,7
1951,4
1949,4
46112,2
1822,11
1820,5
29553,4
29551,5
29550,5
45436,4
45435,4
45427,3
35244,3
31583,4
1282,2
1281,4
1280,4
1279,4
1277,4
1276,3
1275,3
1274,5
1273,2
1272,5
1271,5
1270,5
1267,4
1283,4
1406,1
36807,3
36804,3
42529,2
12052,3
7516,7
46111,8
42081,6
8089,1
26323,1
9691,3
6079,2
27813,4
27812,7
40132,4
13279,2
14286,3
16867,2
31177,2
1333,1
12049,9
35242,2
29584,4
8703,9
27776,3
38587,2
12599,4
27760,5
27770,3
27769,3
27768,4
27767,3
27766,3
27765,4
27764,6
27763,3
12047,13
17267,1
1101,1
5555,1
35060,3
33860,2
19760,5
46052,5
1974,3
29545,6
27233,1
21508,1
32222,4
32221,4
18993,1
19247,3
19676,1
29539,4
29536,2
12046,3
27757,4
29532,6
27756,3
27755,7
31999,2
13969,2
35237,2
23312,2
26764,1
20595,8
1591,2
20634,4
5552,4
15932,8
27754,6
22349,2
21297,4
1042,1
17754,3
8626,2
3199,2
7560,2
12045,3
21295,4
46109,3
46108,2
5328,2
46110,1
5329,1
12043,5
12105,2
41014,2
17941,2
45891,1
14841,9
2498,4
2519,5
12034,2
46087,3
12038,5
43081,5
28632,2
28622,2
3784,2
16665,9
16664,13
16663,9
16662,6
16661,4
16659,6
16658,5
16657,4
16656,7
16655,13
16654,11
16653,10
16651,10
16650,16
46079,1
1233,4
42069,6
18239,3
8060,2
931,2
7487,5
27752,3
27750,6
43879,9
25644,4
30275,2
17953,2
21287,2
46104,9
40207,2
21286,8
15501,7
2480,2
3195,2
1797,2
4411,2
1798,6
2002,4
7484,1
20255,3
29528,3
27749,3
12308,4
18443,5
18442,5
18441,6
18440,7
18439,8
18438,8
18437,3
18444,6
18821,2
18823,6
18825,4
18824,4
24048,10
8742,4
26761,1
15553,1
46103,3
46102,3
33424,5
33423,6
33422,5
33425,5
33421,7
41909,2
42025,5
44199,2
2124,3
2123,3
26750,1
36798,3
3194,2
842,2
7040,3
20622,7
6367,2
16263,7
16262,5
16260,8
7598,2
21282,8
21284,5
21281,3
16273,4
29711,4
21285,5
2776,2
27748,4
27747,7
16254,7
16252,8
44331,3
3192,2
16245,4
405,5
406,2
36797,3
9520,2
41373,7
32928,3
12945,3
31571,6
26474,4
36796,3
41742,4
8611,7
46078,2
17750,1
15335,1
16243,5
35056,3
45408,2
36205,1
6073,2
8609,2
9036,5
17481,5
17547,5
17546,6
39953,6
25639,6
25637,5
8607,3
5542,1
5323,3
8051,1
36795,3
27744,6
5322,1
9516,4
27742,4
5569,1
33909,2
3847,3
2472,6
8057,3
8605,5
31568,4
24855,4
14034,2
24669,4
12022,6
36694,7
12019,4
23446,1
46097,1
2668,1
20752,3
46096,2
27728,5
29510,10
28581,6
29209,2
27726,8
38761,5
24637,5
26461,7
3421,2
2449,9
42501,5
43744,2
42494,3
12576,3
18218,4
18630,2
18631,2
25633,3
25632,3
18220,9
25626,3
25625,3
25621,3
25620,4
25618,3
25615,4
25612,3
25610,3
25634,5
41557,8
3130,3
3131,3
23303,2
18201,3
33403,2
33113,4
2471,2
27741,3
42489,2
18975,2
18200,6
18198,5
18628,1
18629,3
18627,2
12017,2
42488,2
22318,2
32650,3
14591,6
18187,3
30539,6
43117,9
30691,3
30737,7
43868,3
27219,6
27216,2
27214,2
27215,2
1039,3
2140,2
43871,5
18101,5
43872,4
43870,3
2469,2
44793,3
3183,2
37273,2
37267,4
44219,7
44185,5
44180,5
44104,8
43916,4
44288,6
43878,11
43867,5
43948,8
27739,4
12015,3
45396,4
21279,1
27737,8
30251,3
16214,1
38771,12
46093,6
14647,2
16232,9
16230,7
16270,2
16229,10
16226,10
16235,14
16231,9
16228,11
28123,3
16225,6
17073,4
46092,2
32212,2
4390,2
9508,3
14272,3
26507,4
46091,12
46090,3
44790,3
20215,5
24662,2
12565,1
24660,5
24647,1
12375,1
12133,9
12132,7
12088,11
12025,8
12101,10
12098,8
12302,11
12092,6
12026,4
12351,6
12397,10
3176,2
30249,1
41364,7
3038,2
12425,7
23299,4
23862,6
13999,2
43864,2
19751,7
2822,4
30244,8
30245,6
14090,2
36196,4
23293,3
9993,3
31549,3
25583,4
14619,2
26739,7
26738,1
31548,4
31547,5
20617,2
12014,4
1789,2
13787,1
46088,3
12538,4
12528,8
12494,1
12958,3
32,1
8366,2
8044,6
2458,1
27919,8
28066,8
28199,7
28002,7
27962,8
27971,7
27788,6
12751,1
22944,2
22938,2
30235,6
14834,4
6852,2
10813,3
6361,7
27729,10
29511,7
13965,2
1026,4
13964,3
38581,3
3166,2
25959,1
35232,3
8589,7
35231,3
120,1
5317,4
19744,7
30234,4
6069,2
17744,1
17743,2
3162,8
3161,14
3918,3
3949,5
3158,5
22931,3
18959,3
18958,2
36792,2
21274,2
28873,3
392,1
393,2
394,2
395,2
6536,2
5104,1
7468,5
26111,7
43863,1
45671,4
6541,4
45588,1
10004,2
9501,3
32645,3
26657,1
26659,2
26658,2
26660,3
26661,4
26665,4
26664,5
26663,4
26690,4
26467,2
26465,2
26471,3
26470,3
26464,2
26462,3
13986,2
26469,3
26463,5
17739,4
35353,2
38765,6
17735,2
14586,2
33832,4
33831,4
14585,3
5537,2
5536,5
36188,1
43852,7
43849,3
42464,6
44355,6
22310,3
382,2
17404,7
17299,3
32206,5
42459,4
33830,7
34461,7
34462,5
34460,4
39278,7
15328,1
42458,13
42457,9
14827,4
7466,1
8584,1
9500,1
30233,2
32205,4
9499,1
12507,1
12505,1
2879,3
767,1
347,1
9711,3
2151,4
4131,2
11944,4
46084,3
62,1
33110,2
9999,3
25301,3
40170,4
40162,2
31171,1
26107,10
17318,4
17350,1
13962,2
10425,1
17731,1
46046,3
29475,4
7435,3
6912,5
7429,7
6911,5
13932,4
9465,2
18087,1
15554,1
17742,3
30146,2
19422,4
19548,2
19292,2
30150,10
30147,5
30149,5
30148,5
19686,3
19570,4
44492,5
44071,7
44329,3
44489,10
43851,2
17213,3
8173,1
18282,3
18281,4
18280,4
18284,2
18283,4
2396,3
23267,3
1559,1
14249,3
8555,2
4299,2
29474,4
36753,9
32697,9
32688,3
15982,11
33096,7
32843,3
21249,2
35590,2
27697,3
27696,3
7065,2
31112,3
25562,2
19682,2
28243,7
28242,7
28241,4
28240,6
27804,8
43686,8
223,2
46053,3
9267,9
3831,6
7853,2
4039,6
11957,2
5526,1
5525,1
19681,3
2676,4
7050,7
7145,3
4984,3
24507,2
32160,2
31110,9
31109,9
31107,9
31106,9
31104,9
31035,9
31103,6
2097,1
31102,3
31100,6
6336,1
7411,6
23135,3
212,2
38291,2
4294,6
26451,4
20188,1
22237,4
14248,2
40274,4
5385,1
40719,4
7407,1
12434,5
12477,3
12254,4
12476,7
12299,6
12470,4
36392,5
6856,4
37168,9
5163,4
4292,3
32006,1
13928,1
44258,2
