topic_id,number_of_words_in_topic
40973,United States Congress -- oversight of Human Genome Initiative,8
15237,High-school teaching,3
32831,Self-identification,2
46519,"Presser, Stephen",2
42116,hip-hop -- culture of,4
12233,"Horneyan theory, applications of -- to inner conflicts of author",9
15474,"Hughes, Ted",2
46518,"Hughes, Jonathan R.",3
32364,"Hughes, Jonathan",2
15473,"Hughes, Judith M.",3
37671,Homicidality,1
44153,"Hurston, Zora Neale -- authorial voice -- as ""mythic agency"" or ""occult spiritual authority""",12
21638,Heroes,1
38422,Heterosexual,1
36867,"Constitution, United States: 1787 convention -- interpretation of",7
5743,Hip-hop -- Middle-class life,5
43165,"McWilliams, Carey -- on Prop 14",5
42986,"HoSang, Dan -- on Prop 14",5
43182,Medical Committee for Human Rights (MCHR) -- and Prop 13,9
605,"HOME, New Orleans (HNO)",4
6520,"Tan, Ed S.",3
16185,"Transsexual -- coverage of medical treatment, 66 n.",7
45926,sex -- hermaphrodite,2
37652,"Herman, Judith",2
23086,"Hirschman, Albert",2
27953,Heredia -- Louise de,3
17896,"Herder, Johann Gottfried von -- on Jewish history",7
17895,"Herder, Johann Gottfried von",4
4630,"Herbert, George",2
1261,International Herald Tribune (IHT),4
25860,"Henry VIII, King",3
29833,"Shakespeare, William -- Henry IV, Part I",6
25857,Henry III,2
12466,Vanity Fair (Thackeray),3
12205,Henry Esmond (Thackeray),3
32784,"Helms, Sen. Jesse -- calls Achtenberg ""damn lesbian""",7
13135,"Helms, Sen. Jesse",3
28336,Hekhalot mysticism -- Enoch literature and,5
28366,Hekhalot mysticism,2
28365,Hekhalot literature,2
1226,Heidi,1
24880,"Heidegger, Martin -- conception of truth",5
27411,"Heidegger, Martin",2
17884,"Hegel, Georg W. F.",4
28881,Hegelian power relations,3
44098,Hegelianism,1
12148,Edna Pontellier (The Awakening),4
28362,Hebrew Book of Enoch,4
29480,When Heaven and Earth Changed Places (Hayslip),7
29645,"Conrad, Joseph: Heart of Darkness -- ""unforeseen partnership""",7
7561,"Conrad, Joseph -- Heart of Darkness",5
28997,Symbionese Liberation Army (SLA),4
42954,Health Maintenance Organizations (HMOs),4
42950,"health care -- undocumented, scapegoating of",5
13134,health care,2
26233,Occupational Safety and Health Act of 1970 (OSHA),8
8541,values,1
596,Hispanic Chamber of Commerce of Louisiana (HCCL),7
6656,"Hayles, N. Katherine",3
10314,"Hayek, Friedrich",2
20812,Hawks,1
6655,"Hawk, Byron, Small Tech",4
6418,Haunted House,2
21634,Hate -- phenomenological analysis of problem of,6
3574,Hastings Race and Poverty Law Journal,6
8963,"HASTAC (Humanities, Arts, Science, and Technology Alliance and Collaboratory)",9
23410,Haskalah,1
8219,Harvard University: Shorenstein Center,4
595,Harvard University -- Kennedy School of Government,6
594,Harvard University -- Phillps Brooks House Association,6
8799,Digital Humanities Quarterly (DHQ),4
15468,"Hartmann, Heinz",2
10307,"Hartley, John",2
38990,"Hart, H. L. A. -- Concept of Law, The",8
38652,"Hart, Lois",2
21116,Rice,1
14065,"Hart, Gary",2
31770,"Hart, Frederick",2
11268,Harry Potter (Rowling),3
12196,Harry Haller (Steppenwolf),3
39943,"Harris, Paul -- and John Zimmerman case",6
38650,"Harrison, H.",2
35380,"Harrington, Michael",2
2742,Harper's magazine,2
35716,"Harper & Row, Publishers, Inc. v. Nation Enterprises",7
2894,Nation Enterprises,2
29829,"Hogarth, William: A Harlots Progress",5
23648,Haredim (Ultra-Orthodox),3
36408,"Hardy, Thomas -- Tess of the d'Urbervilles",6
12194,"Hardy, Thomas -- analysis of The Mayor of Casterbridge",8
21624,"Dickens, Charles, Hard Times",4
6182,"Hansen, Mark B. N.",4
28874,"Handmaid's Tale, The (Atwood)",4
13601,Psycho-analysis,2
26368,"Hand, Learned",2
20115,Ratification of the U.S. Constitution -- James Wilson's contribution to,9
36404,"Hammond, James Henry",3
16790,"Shakespeare, William -- The Tragedy of Hamlet",6
15465,"Hamilton, V.",2
20412,"Marshall, Alfred",2
11266,"Hall, Stuart",2
27951,"Hall, Radclyfle -- Well of Loneliness, The",6
23080,"Hallowell, A. I.",3
35373,"Hall, Lynn",2
14379,"Hall, Edwin S.",3
14063,"Hall, C. S.",3
38986,"Hale, Robert Lee",3
17876,Halakhah I'Moshe mi–Sinai,3
23473,Halakhah (Jewish law),3
8925,University of Rochester -- Hajim School of Engineering and Applied Science,10
19909,"Haines, Charles Grove, on Jay Court",6
23471,Hafetz Hayyim (Israel Meir Ha-Kohen),6
36661,Reader response theory,3
39309,Social Choice and Industrial Values (Arrow),6
25325,"Choices, nonmarket",2
44827,Ch'oe In-gyu -- The Night Before Liberation,7
44826,Ch'oe In-gyu -- Hurrah Freedom,5
44825,Ch'oe In-gyu -- Homeless Angels,5
44828,Ch'oe In-gyu -- A Statement of Love,7
44824,Ch'oe In-gyu,3
22990,"Chodorow, Nancy J.",3
5126,Cho,1
19788,Chisholm v. Georgia (1793),4
42106,Chinese American hip-hoppers,4
31641,"Kingston, Maxine Hong -- China Men",5
31640,China Beach,2
16311,Child's experience -- Malte's fears in The Notebooks,7
16310,Child's experience -- love for the mother as part of self,10
33459,Children -- teen parents,3
28658,Children -- Convention on the Rights of the Child,8
26139,Child care,2
29622,child,1
297,Latin America,2
25895,Justinian I,2
25425,Justice -- theory of,3
25423,Justice -- requirement of fixity,4
10393,Justice League,2
20299,Justice -- distributive,2
19980,"""Justice Cushing's Undelivered Speech on the Federal Constitution""",8
5165,"Kadrey, Richard",2
1295,"Kan, Naoto",2
9035,Kairos,1
3658,"Kamler, Richard",2
3657,Junkie,1
21726,Jungians,1
39984,"Rehnquist, Chief Justice William",4
39980,Judges -- Thurgood Marshall,3
39988,Judges -- John Paul Stevens,4
39987,Judges -- David Souter,3
2812,"Judge, Guy",2
39969,"Judge, Eugene",2
23826,"Women of Reform Judaism (formerly, the National Federation of Temple Sisterhoods)",11
8299,"Karlsson, Michael",2
27979,"Joyce, James -- Ulysses",3
16460,"Joyce, James -- Portrait of the Artist as a Young Man, A",11
41190,joy,1
5162,Journeyman Project 3: Legacy of Time -- The,7
28143,"Lenéru, Marie -- Saint-Just",4
28266,"Lenéru, Marie -- ""Witness, The""",4
2806,Journal of Clinical Investigation,4
44184,Journal of American Folklore,4
27975,"Lenéru, Marie -- Works: Journal",4
2291,"Katz, Elihu",2
17931,Josiah,1
35411,"Joseph, Jill G.",3
3654,"Jones, Nate, ",2
38669,"Jones, Justine",2
14403,"Jones, Ernest",2
35138,"Jones, Lieutenant Colonel Clinton D.",5
38667,"Johnston, Jill",2
36992,"Johnson, William Cost",3
46514,"Johnson, Thomas",2
15768,"Johnson, Thomas Wayne",3
35409,"Johnson, Mark",2
43028,"Johnson, Lyndon -- L.A. Board impasse",5
13212,"Johnson, Lyndon Baines",3
36990,"Johnson, James A.",3
39963,"Johnson, Haynes, coauthor of The Unions",6
5794,"Johnson, Alex M.",3
13211,Johns Hopkins Hospital,3
43024,Johnnie Tillmon Child Development Center,5
5792,John Henry,2
12262,Joe Morgan (The End of the Road) -- analysis of,9
46072,"class, the",2
11362,Joel (class member) -- class relationships,5
11361,Joel (class member) -- bohemian cultural capital,6
11360,Joel (class member),3
27973,"Lamartine, Alphonse de -- Jocelyn",4
15087,Disciplinarity -- and academic job market,5
44363,racism -- Jim Crow violence,4
20382,Jim Crow legislation,3
34156,Jews -- Southern,2
23115,Jews -- rescue of,3
23696,"Reconstructionist, The",2
46513,Jews and Blacks,3
33888,Black Jews,2
34145,Jewish social theorists,3
18573,Jewish Religion Status-Lowering Act,5
18568,Jewish question -- Kallay on,4
18567,Jewish question -- Imredi government and,5
18563,Jewish question -- Endre on,4
34143,Jewish Press,2
18720,Press -- Jewish,2
18301,"Press, Catholic",2
18719,Press -- Christian,2
30684,Jeremiah,1
26951,Jensen Study,2
11354,Jenna (class member),3
10929,"clique -- of Max, Alice, and Jenna",6
1289,"Jenkins, Henry",2
6428,"King, Stephen",2
41091,"Detroit, MI",2
3649,Jeffries Homes (Detroit housing projects),5
38666,"Jeffreys, S.",2
22558,Indian males,2
13209,"Jefferson, Thomas",2
22583,Jeffersonians,1
28019,"Loy, Mina -- ""Widow's Jazz, The""",5
19947,Jay Treaty,2
28969,"Yakuza, organized crime in Japan",5
20893,"Japan That Can Say ""No,"" The (Morita and Ishihara)",9
20895,Japanese External Trade Organization (JETRO),5
20897,"Johnson, Chalmers",2
20886,Japanese-Americans -- World War II and,6
20885,Japanese-Americans -- political activism and,5
20883,Japanese-Americans -- image of,4
20884,Japanese Americans -- internment of,4
43018,Japanese Americans,2
20881,Japan as Number One (Vogel),5
26607,"Eliot, George, writings -- ""Janet's Repentance""",5
37717,"Janet, Pierre",2
35405,"Jamieson, Kathleen",2
11349,Jamie (class member),3
30672,"James, William -- on Nietzsche",4
23109,"James, William",2
25880,colonies -- Jamestown,2
29879,"James, P. D.: Devices and Desires",6
35951,"Jameson, Fredric",2
39518,"James, C. L. R.",4
41186,"James, Alice",2
40439,Jamal (case study),3
29878,"du Maurier, Daphne: Jamaica Inn",5
27969,"Jaloux, Edmond -- Rainer Maria Rilke",5
27968,"Jaloux, Edmond -- Proserpina's Boudoir",4
3635,"Jackson, Jesse",2
14081,"Jackson, Clifford",2
4669,Jackass,1
27398,"Gutkind, P. C. W.",4
3550,Habana's Outpost,2
10283,"Gutiérrez, K. D.",3
3546,Gus Harrison Correctional Facility,4
8924,"Hajic, Jan",2
15463,"Guntrip, Harry",2
575,"Gulfport, Miss.",2
27948,"Proust, Marcel -- Guermantes Way, The",5
7069,"Guattari, Felix",2
568,Guatemalans,1
2729,Guatemala,1
42908,"National Welfare Rights Organization (NWRO) -- guaranteed annual income, advocacy for",10
24870,"Grünberger, Béla",2
41988,"LGBTQ (lesbian, gay, bisexual, transgender, queer)",6
6416,Halloween (film),2
35369,"Gross, Larry",2
14674,"Grossberg, Lawrence",2
12192,"Griselda (""The Clerk's Tale"") -- analysis of",6
41149,"Grimke, Angelina Weld",3
15034,Griever: An American Monkey King in China (Vizenor),8
38647,"Grier, Barbara",2
38646,"Gregory, Debby",2
35122,"Greenstein, F. I.",3
17034,"Greenson, Ralph",2
27947,"Morand, Paul -- Works: Green Shoots",5
46511,Green Olympics,2
1896,Olympic Green,2
11257,"Green, Judith",2
14055,"Greenberg, Joanne",2
29816,"Greene, Graham -- The Power and the Glory",7
14056,"Greenberg, J. R.",3
31754,"Green Berets, The (Wayne and Kellogg)",6
31753,"Green Berets, The (Moore)",4
35933,"Greenacre, Phyllis",2
98,hacking culture,2
12189,Great Expectations (Dickens) -- autobiographical nature of,6
46510,Intrapsychic dynamics,2
21722,Intrapsychic dynamics -- Dickens's,3
21723,Intrapsychic dynamics -- Great Expectations as dramatization of,7
46509,Yugoslavia,1
41539,Former Yugoslavia,2
20806,Greater East Asia Co-prosperity Sphere,6
27946,"Milosz, Oscar Venceslas de -- Great Art",6
24869,"Gray, Paul",2
14376,"Gray, J. Patrick",3
35365,"Grassi, Ernesto",2
8217,hackers,1
29808,"Steinbeck, John: The Grapes of Wrath",6
25844,"Grant, Ulysses S.",3
6413,Grand Theft Auto (GTA),4
38981,"Llewellyn, Karl -- Grand Style",4
25843,English Civil War -- Grand Remonstrance,5
3786,"Grand Rapids, MI",3
5717,Grandmaster Flash (hip-hop performer),5
27945,"Gramont, Elisabeth de -- Proust and Montesquiou",6
27944,"Gramont, Elisabeth de -- History of Samuel Bernard and His Children",10
38980,"Derrida, Jacques -- Of Grammatology",4
27394,"Graham, Angus C.",3
15021,Graduate students -- compensation of,4
15288,"Graduate Employees Organization (GEO), University of Illinois",7
14669,"Graduate Employees and Students Organization (GESO), Yale",7
27935,"Gourmont, Remy de -- Works: Cultivation of Ideas, The",8
27936,"Gourmont, Remy de -- ""Daily Epilogues""",5
28138,"Rouveyre, André -- Recluse and the Sly One: Gourmont and Gide, The",11
17412,"Gould, Jay",2
9670,"Gore, A.",2
10272,"Gordon-Levitt, Joseph",3
29807,"Gordon, George: The Complete Poetical Works of Lord Byron",9
43952,"""Goophered Grapevine, The"" (Chesnutt)",4
26894,Goodyear,1
35142,"Goodwin, Doris Kearns",3
17982,"Lessing, Gotthold Ephraim",3
17984,"Lessing, Gotthold Ephraim -- Nathan the Wise",6
17983,"Lessing, Gotthold Ephraim -- ""The Education of the Human Race""",9
12184,"Good Terrorist, The (Lessing)",4
35361,"Goodman, Nelson",2
27391,"Goodman, Lenn E.",3
35360,"Goodman, Lee",2
23457,"Goodbye, Columbus (movie)",3
34055,Goodbye Columbus,2
23455,"Goldstein, Israel",2
41316,Theos,1
8909,"Goldberg, David Theo -- ""institution"" as a ""mobilizing network""",8
8908,"Goldberg, David Theo",3
14051,"Goldberg, Arnold",2
6174,gold,1
31747,Going Back (Munro),3
31708,"Ehrhart, William D.",3
31746,Going Back (Ehrhart),3
31745,Going After Cacciato (O'Brien),4
2238,"Goffman, Erving",2
26366,"Goetz, Bernhard",2
30588,"Goddard, William",2
17851,God -- as creator through self–limitation,5
28349,Gnostic literature -- Hekhalot mysticism and,5
1218,"Hachten, William",2
25796,Glorious (Bloodless) Revolution,3
9673,Global Positioning System (GPS),4
1206,Globalization -- Media globalization,3
1166,news reporting,2
1388,news reporting -- Hurricane Katrina coverage,5
1386,news reporting -- French riots coverage,5
28865,Global economy -- disparity with Third World,6
35356,"Gledhill, Christine",2
21069,"Prestowitz, Clyde",2
20800,"""Giving Japan a Handout"" (Prestowitz)",5
9662,"Gitlin, Todd",2
11250,Giselle (class member) -- World Challenge selection,6
11249,Giselle (class member) -- Tumblr use for artistic practices,8
11248,Giselle (class member) -- technological pursuits support by family,8
11246,Giselle (class member) -- self-motivated music learning,7
11245,Giselle (class member) -- music teacher's relationship,6
11244,Giselle (class member) -- music participation without levels,7
11243,Giselle (class member) -- music making by,6
11242,Giselle (class member) -- music alternatives for,6
11241,Giselle (class member) -- mainstream schooling criticism,6
11240,Giselle (class member) -- jointly constructed music curriculum,7
11239,Giselle (class member) -- home superiority in providing learning opportunities,9
11238,Giselle (class member) -- gendering exception,5
11237,Giselle (class member) -- father's fragmentation worry,6
11236,Giselle (class member) -- Facebook profile,5
11235,Giselle (class member) -- deliberate artistic development by,7
11234,Giselle (class member) -- computer games use for artistic practices,9
11233,Giselle (class member) -- class relationships,5
11232,Giselle (class member) -- bohemian cultural capital,6
11231,Giselle (class member) -- art talent of,6
11230,Giselle (class member) -- alternative visions of learning,7
11229,Giselle (class member),3
11851,"social networking sites, online -- Giselle's organization of friends through",9
10951,computer games -- Giselle's use of,5
10857,bohemian cultural capital -- Giselle's family,5
44758,Girangaon (Village of Mills),4
14047,"Ginzburg, Ralph",2
42894,"Gilmore, Ruth Wilson -- racism, definition of",6
42893,"Gilmore, Ruth Wilson -- on military Keynesianism",6
32437,Net exports,2
19982,"Keynes, John Maynard",3
14367,"Gilman, Sander L.",3
17028,"Gill, Merton Max",3
40394,"Gilligan, Carol -- on importance of context in studying human development",10
35351,"Gilligan, Carol",2
14046,"Gilbert, G. M.",3
9660,"Gilbert, G. Nigel",3
21601,"""Gift of the Christ Child, The"" (MacDonald)",7
11226,gifted and talented girls -- Giselle and Sara,7
11224,Gideon (class member) -- World Challenge selection,6
11223,Gideon (class member) -- visible popularity of,6
11222,Gideon (class member) -- uncertain future of,6
11220,Gideon (class member) -- social effort to gain status in core group,11
11219,Gideon (class member) -- SIMS metrics and,6
11217,"Gideon (class member) -- school, out-of-school, and online disconnections",10
11216,"Gideon (class member) -- personal or private difficulties, discussion with family of",11
11221,Gideon (class member) -- on teacher's treatment,6
11218,Gideon (class member) -- on school rules,6
11215,Gideon (class member) -- Facebook friendships and,6
11213,Gideon (class member) -- class relationships,5
11212,Gideon (class member) -- anger management classes for,7
11211,Gideon (class member),3
2231,"Giddens, Anthony",2
549,"Giarrusso, Courtney",2
14045,"Gerzon, Mark",2
27927,"Loy, Mina -- ""Gertrude Stein""",4
27926,"Germain, André -- Renée Vivien",4
27925,"Germain, André -- ""Homage to Valéry, An""",6
11210,"Gergen, Kenneth J.",3
26891,Gerber,1
547,Georgia.,1
22498,"George III, king of England",5
7055,George Foster Peabody Award,4
8892,geographical information systems (GIS) -- maps,5
8891,geographical information systems (GIS) -- historical,5
8902,geographical information systems (GIS),4
16792,"Shakespeare, William -- Two Gentlemen of Verona",6
22391,Gentlemen,1
41561,Serbian program of genocide,4
1865,Genocide Olympics,2
2431,United Nations,2
20795,General Motors Corp.,3
38975,Genealogy of Morals (Nietzsche),4
11208,gender -- music learning accomplishment and,5
11205,gender -- class relationships influenced by,5
27381,"Gell-Mann, Murray",3
14132,"Mann, I.",2
14041,"Gelb, Lawrence",2
9654,"Geertz, Clifford",2
17025,"Gedo, John",2
35706,Gayspeak,1
36499,Gays,1
24863,"Gay, Peter -- on the Rat Man treatment",7
24862,"Gay, Peter -- on Freud's account of Dora case",8
24861,"Gay, Peter -- on dichotomy of Freud's technique",7
17834,"Gay, Peter",2
33558,Gay men -- HIV-negative,4
30725,law -- v. religion,3
38974,Gaylegal Agenda,2
39064,Law -- Gaylegal,2
27380,"Gay, J.",2
9652,Geospatial Technologies and Human Rights (GaTHR),6
5704,"Gates, Henry Louis, Jr.",4
7710,"Gaskell, Mrs. Elizabeth",3
35349,"Gary, A. L.",3
27379,"Gardner, Howard",2
5287,Tay (The Rebel Age),4
5149,Survey Island (Map or Garden Island),6
6171,garbology,1
8192,"Gans, Herbert J.",3
42205,"""rap music"" and variants -- gangsta rap",6
44603,"Gandhi, Indira",2
13096,"Gandhi, Mohandas K.",3
19889,"Galloway Plan, and John Jay's position",6
9650,"Gallo, Jason",2
14038,"Gaebler, Ted",2
27375,"Gadamer, Hans-Georg",3
24857,"""Future Prospects of Psycho-Analytic Therapy, The"" (Freud)",8
40468,Malcolm (case study),3
40377,Future -- expectations for (Malcolm),4
1181,Gackt,1
15452,Fusion,1
38406,"Furies, The",2
3497,"Gainesville, FL",2
40806,Funding of scientific research -- central role of administrative agencies,9
31736,Full Metal Jacket,3
38964,"Fuller, Lon L.",3
35111,"Fulbright, J. William",3
2227,"Galtung, Johan",2
14661,"Frye, Northrop",2
35346,"Frye, Marilyn",2
46508,"Frost, Robert -- ""The Pasture""",4
14036,"Frosh, J.",2
14361,"Frosch, William A., George L. Ginsberg, and Theodore Shapiro",9
15001,From the District File (Bernard),5
5148,Gadget,1
5146,From Myst to Riven: The Creations and Inspirations,8
17018,"Fromm-Reichmann, Frieda -- cares for Groddeck",6
15451,"Fromm-Reichmann, Frieda",3
15450,"Fromm, Erich",2
17401,Fringe benefit plans,3
2708,"Freire, Paolo",2
40372,Friendship(s) -- racial differences in intimacy of,6
11196,friendships -- predating and extending beyond the class,7
6438,"Matrix, The",2
9094,"MATRIX, Center for Digital Humanities and Social Sciences",8
27918,"""Friendship of Women, The"" (Vivien)",5
21783,Love -- in Our Mutual Friend,5
21935,Our Mutual Friend (Dickens),4
2707,"Friend, Christy",2
9646,"Friedman, Thomas L.",3
27373,"Friday, A.",2
36131,Freund and McGuire,3
24928,"Lanzer, Ernst",2
35925,"Freud, Sigmund -- Three Essays on on the Theory of Sexuality",10
25275,"Freud, Sigmund -- ""The Unconscious""",4
24847,"Freud, Sigmund -- theory of the unconscious by",7
24844,"Freud, Sigmund -- proposals regarding resistance",5
24846,"Freud, Sigmund -- on psychoanalysis",4
35923,"Freud, Sigmund -- ""On Narcissism: An Introduction""",6
35922,"Freud, Sigmund -- ""On Mourning and Melancholia""",6
46506,"Freud, Sigmund -- Notes Upon a Case of Obsessional Neurosis",9
26588,"Freud, Sigmund -- on Middlemarch",4
35921,"Freud, Sigmund -- Leonardo da Vinci and a Memory of His Childhood",11
26587,"Freud, Sigmund -- Interpretation of Dreams",5
46505,Introductory Lectures on Psycho-Analysis (Freud),6
35920,"Freud, Sigmund -- ""Instincts and Their Vicissitudes""",6
26586,"Technical papers (Freud) -- Inhibitions, Symptoms and Anxiety",7
24839,"Freud, Sigmund -- influenced by Aristotle",5
24838,"Freud, Sigmund -- failure to acknowledge countertransference",6
35918,"Freud, Sigmund -- Works cited: Civilization and Its Discontents",8
35928,Freudian theory,2
26596,Parapraxis (Freudian slip),3
41132,Freudianism,1
12181,Freudian criticism,2
16987,"Freud, Anna",2
275,Germany,1
16986,"French, Thomas",2
27372,"French, Marilyn",2
24242,French Connection,2
3492,Freeze,1
17396,Free trade,2
18453,Freemasons,1
3785,"Freeland, MI",2
29790,"""Sour grapes"" reaction, to life in freedom",7
25836,freedom of conscience -- and Williams,5
25833,freedom of conscience -- and Hobbes,5
25832,freedom of conscience -- and Harrington,5
29779,"Frazer, James: The Golden Bough",5
23058,"Frankl, Viktor",2
22478,"Franklin, Benjamin -- and Indians",4
23435,"Frankfurter, Justice Felix",3
27369,"Frame, D.",2
9128,Maryland Institute for Technology in the Humanities (MITH),8
8967,Institute for Advanced Technology in the Humanities (IATH),8
20650,"Brzezinski, Zbigniew",2
5386,First Person Shooter (FPS),4
29778,"Fowles, John -- ""Foreword"" to The Hound of the Baskervilles",9
30544,"Foster, Stephen S., and come-outerism",6
35343,"Foss, S. K.",3
9639,Fortune,1
26691,"Eliot, George, writings -- ""The Sad Fortunes of the Reverend Amos Barton""",11
12178,"Forster, E. M.",3
41542,Former Yugoslavia -- war in,4
41541,Former Yugoslavia -- war crimes in,5
41540,Former Yugoslavia -- dissolution of Yugoslavia,5
38953,Form and Substance in Public Law Adjudication (Kennedy),8
21586,Forgiveness -- in Little Dorrit,4
2347,New World Information and Communication Order (NWICO),7
27912,"Jaloux, Edmond -- Works: Foreign Figures",5
35941,"Hueffer, Ford Madox",3
1886,Forbidden City,2
41128,sports activities -- football,3
2699,Folsom v. Marsh,3
11188,"folk theories of learning, Bruner on",6
29775,"Flynn, Thomas -- Tales for My Brother's Keepers",7
20333,Fluid class recovery,3
3351,Florence Crane Women's Facility,4
46504,Florence Crane Women's Facility -- women,5
14253,"Wayne, S.",2
9867,"Robinson, Arthur",2
1514,"Takahata, Isao",2
1513,Flo et les Robinson Suisses (The Swiss Family Robinson),9
3475,Flint Youth Theater,3
24820,"Fliess, Wilheim",2
27910,"Fleg, Edmond -- Jewish Anthology",4
27909,"Fleg, Edmond -- Demon, The",4
27908,"Fleg, Edmond -- Child Prophet, The",5
13079,Focus,1
13078,Flawed presidencies,2
32757,"Heterosexuality -- ""flaunting"" sexuality among",4
7698,"Flaubert, Gustave -- Madame Bovary",4
29771,"Fitzgerald, F. Scott: The Great Gatsby",6
35335,"Fiske, John",2
17930,Joshua,1
9635,"Fishkin, James S.",3
35333,"Fischli, Ronald",2
39483,"Thomas, Justice Clarence -- First Amendment",5
33199,"Fried, Charles",2
9634,first amendment,2
34017,"Baldwin, James: The Fire Next Time",6
10246,Firefly,1
28831,"Finstad, Liv -- and pimping",4
28833,"Finstad, Liv -- prostitution and drugs",5
28832,"Finstad, Liv -- pricing in prostitution",5
28830,"Finstad, Liv",2
27361,"Joyce, James -- Finnegans Wake",4
27904,"Gramont, Elisabeth de -- ""Finistère""",4
8184,Financial Times,2
18557,Jewish problem -- distinction between converts and Jews in,8
46502,Jewish problem -- final solution of,5
25368,Justice -- requirement of finality,4
26709,"Eliot, George, writings -- The Spanish Gypsy",6
3468,Filmwest Associates,2
25827,"Filmer, Sir Robert",3
42146,Filipino DJs,2
42171,Filipina youth,2
42198,Filipino youth,2
38938,Fifties generation,2
35854,"Year in the Life, A",5
2221,Field theory -- Symbolic capital,4
2220,Field theory -- Habitus,3
2219,Field theory -- Fields of production,5
2217,Field theory,2
31721,Fields of Fire (Webb),4
15436,"Fiedler, Leslie",2
15069,Fiction Collective 2 (FC2),4
35855,Young adult (YA) fiction,4
10242,Ferguson,1
13602,Psychoanalytical,1
16931,"Ferenczi, Sándor -- contrast with Jung",5
24910,International Psychoanalytical Association,3
16974,"Ferenczi, Sándor -- and Clara Thompson",5
11904,"Thompson, Audrey",2
14029,"Fenichel, Otto",2
42836,Feminist Women's Health Centers,4
31277,Feminist theory -- gender stereotypes in,5
5648,critical race theory (CRT),4
7988,"""typewriter"" girls",2
7860,"office work, women's",3
33104,Women's studies,2
31261,Feminism -- stereotypes of,3
31249,Feminism -- lesbian feminists,3
8580,Association for Computers and the Humanities (ACH),7
19518,Rod,1
18411,Egyedul Vagyunk (We Are Alone) (periodical),6
8025,@nytimes,1
17403,Gas chromatography/mass spectrometry (GC/MS),6
9987,#FreeHappyIranians,1
16980,"""'Forgetting' of a Symptom and Its Explanation in a Dream, The"" (Ferenczi)",12
8023,@BrianStelter,1
9986,#BlackLivesMatter,1
8022,@BBCWorldservice,1
8021,@BBCbooks,1
31553,… And a Hard Rain Fell (Ketwig),7
18421,"Endre, Laszlo -- and expulsion of Jews",6
5154,Gehn's Office.,2
3037,U.S. Code 17 § 120 (a),6
38574,10 Percent,2
7672,feminism,1
38405,Heterosexual -- feminists,2
46055,"Feminists, The",2
38401,Feminist theory -- cultural feminism,4
31720,feminism: backlash against,3
31251,Feminism -- men's relation to,4
46501,Feminine,1
24818,Hysterical neurosis,2
28808,Female sexual slavery,3
11204,gender,1
46500,Liberalism -- and gender,3
12179,Felix culpa (fortunate fall),4
17816,"Feinstein, Moses",2
17114,Moses,1
23877,"Feinstein, Sen. Dianne",3
14028,"Feerick, J. D.",3
13076,Feelings -- of inadequacy,3
8540,Federal Reserve -- Board of Governors,5
19879,Federalists,1
37139,"Steel, Lewis",2
37138,states' rights,2
38756,"Wilson, Anna",2
19874,"Federal criminal law, and John Jay",6
44072,fear and terror -- lack of (Emerson),6
44074,fear and terror -- in religious experience (Pratt),7
1884,Foreign Correspondents Club of China (FCCC),6
26358,FBI Uniform Crime Reports,4
24526,Racketeer Influenced and Corrupt Organizations Acts (RICO),7
24225,Federal Bureau of Investigation,4
38638,"Fay, Gwen",2
5139,Doom,1
27901,"Goethe, Johann Wolfgang von -- Faust",5
27358,"Faust, David",2
31211,Citadel,1
40334,Father(s) -- Malcolm's relationship with,4
40311,Eva (case study),3
40332,Father(s) -- Eva's relationship with,4
16387,Father -- oedipal fathers in Kafka and Lawrence,7
37422,Demon/Devil -- Satan,3
16381,"Father -- ambivalence about, in Ewald Tragy",6
19148,fatalism,1
29756,"Hughes, Robert: The Fatal Shore",5
22130,sin,1
31238,"Farrakhan, Reverend Louis",3
27356,"Farmer, J. Doyne",3
12295,"Hardy, Thomas -- Mayor of Casterbridge",5
12172,Farfrae (The Mayor of Casterbridge),5
31717,"Farewell to Arms, A (Hemingway)",5
35331,"Farber, Stephen",2
38917,"Farber, Daniel A. -- and Suzanna Sherry",6
38637,"Farajajé-Jones, E.",3
37535,Narcissism/narcissistic -- and fantasies,4
21541,Fantasies -- Dickens's need for,4
1152,"Fanon, Frantz",2
12171,Fanny Price (Mansfield Park),4
1151,Family Ties,2
11157,"family systems theory, Katz on",5
24010,"Falwell, Jerry",2
14987,Falwell: Before the Millennium (D'Souza),5
13073,"""False self""",2
44067,"Madeline Usher (character in ""Fall of the House of Usher""), death of",12
29749,Fairy tales -- Hansel and Gretel,5
26169,Fair Labor Standards Act (FLSA),5
15433,"Fairbairn, W. R. D -- separation anxiety",6
39342,"Weisberg, Richard",2
38913,"Failure of the Word, The (Weisberg)",6
14980,Faculty -- part time,3
5433,Manhunt,1
14819,Academe -- professional standards of,4
14818,Academe -- obligations of,3
14817,Academe -- need for reform of,5
46498,Academe -- ludic,2
38635,"factory, ben e.",3
15224,"Remembering to Say ""Mouth"" or ""Face"" (Castañeda)",7
11127,Facebook -- Mark and Hakim not on,6
12773,Character issues -- why they matter,5
6926,"Chang, Ji-Mei",3
17814,Ezra,1
30525,Ezekiel,1
8864,"Faulkner and Yoknapatawpha Conference, ""Faulkner and the Digital Humanities""",9
11099,extracurricular activities,2
7981,Exploits of Three-Fingered Kate (series),6
