topic_id,number_of_words_in_topic
4024,Prison Creative Arts Project theater workshops -- Crockett Technical High School,10
4023,Prison Creative Arts Project theater workshops -- crisis,7
4022,Prison Creative Arts Project theater workshops -- Cotton Correctional Facility,9
4019,Prison Creative Arts Project theater workshops -- closing,7
4018,Prison Creative Arts Project theater workshops -- Catherine Ferguson Academy,9
4017,Prison Creative Arts Project theater workshops -- Calumet Center,8
4016,Prison Creative Arts Project theater workshops -- Boysville,7
4015,Prison Creative Arts Project theater workshops -- Adrian Training School,9
4014,Prison Creative Arts Project theater workshops -- Adrian Temporary correctional facility,10
4038,Prison Creative Arts Project theater workshops -- Parr Highway Correctional Facility,10
4037,Prison Creative Arts Project theater workshops -- Parnall Correctional Facility,9
4034,Prison Creative Arts Project theater workshops -- Maxey Boys Training School,10
4033,Prison Creative Arts Project theater workshops -- Lincoln Center,8
4029,Prison Creative Arts Project theater workshops -- Henry Ford High School,10
4028,Prison Creative Arts Project theater workshops -- Gus Harrison Correctional Facility,10
4021,Prison Creative Arts Project theater workshops -- Cooper Street Correctional Facility,10
4020,Prison Creative Arts Project theater workshops -- Cooley High School,9
3981,Prison Creative Arts Project (PCAP) -- hubs,6
3963,Prison Creative Arts Project (PCAP) -- history,6
3994,Prison Creative Arts Project (PCAP) -- Gus Harrison Correctional Facility,9
3958,Prison Creative Arts Project (PCAP) -- Fourteenth,6
3980,Prison Creative Arts Project (PCAP) -- founders,6
3978,Prison Creative Arts Project (PCAP) -- Florence Crane Women's Facility,9
3481,Prison Creative Arts Project theater workshops -- Florence Crane Women's Facility,10
3952,Prison Creative Arts Project (PCAP) -- Fifth,6
3959,Prison Creative Arts Project (PCAP) -- Fifteenth,6
3979,Prison Creative Arts Project (PCAP) -- failure,6
3954,Prison Creative Arts Project (PCAP) -- Eighth,6
3977,Prison Creative Arts Project (PCAP) -- dance workshops,7
3976,Prison Creative Arts Project (PCAP) -- creative writing workshops,8
3975,Prison Creative Arts Project (PCAP) -- core values,7
3974,Prison Creative Arts Project (PCAP) -- coordinators,6
3973,Prison Creative Arts Project (PCAP) -- concerns,6
4000,Prison Creative Arts Project (PCAP) -- communication with the facility,9
3972,Prison Creative Arts Project (PCAP) -- celebration,6
3993,Prison Creative Arts Project (PCAP) -- Calumet Center,7
11353,"Jenks, Christopher",2
3962,Prison Creative Arts Project (PCAP) -- budget,6
3992,Prison Creative Arts Project (PCAP) -- Boysville,6
3961,Prison Creative Arts Project (PCAP) -- beginning,6
3970,Prison Creative Arts Project (PCAP) -- associates,6
3969,Prison Creative Arts Project (PCAP) -- Associate Gathering,7
3968,Prison Creative Arts Project (PCAP) -- art workshops,7
3960,Prison Creative Arts Project (PCAP) -- artists,6
3984,"Prison Creative Arts Project (PCAP) -- ""Are We Community""",8
3951,Prison Creative Arts Project (PCAP) -- Annual Exhibition of Art by Michigan Prisoners,12
3950,Prison Creative Arts Project (PCAP) -- Annual Exhibition of Art by incarcerated youth,12
44142,"Hurston, Zora Neale -- on the occult powers of voodoo",9
44133,"Hurston, Zora Neale -- commonality of human and nonhuman world in",10
15262,"Hurston, Zora Neale -- works -- Their Eyes Were Watching God",9
44156,"Hurston, Zora Neale -- works -- Dust Tracks (autobiography)",7
44159,"Hurston, Zora Neale -- works -- ""The Inside Light—Being a Salute to Friendship""",11
44152,"Hurston, Zora Neale -- authorial voice -- her silences as momentary undoing of the self",13
44154,"Hurston, Zora Neale -- authorial voice -- as performative",7
44151,"Hurston, Zora Neale -- authorial voice -- as contextual and fragile",9
44150,"Hurston, Zora Neale -- authorial voice",5
44132,"Hurston, Zora Neale -- as addressing a white audience (view)",9
32705,"Clinton, Bill -- record on lesbian and gay rights",8
30375,"Clinton, Bill -- lesbian and gay support for",7
23884,"Clinton, Bill -- pledge to lift military ban",7
30374,"Bush, George, accused by Clinton campaign of McCarthyism",8
41452,Clinton administration,2
13864,Stamina -- of William J. Clinton,5
13444,"Policy -- positions of George Bush, William J. Clinton, and Ross Perot",11
13333,Needs and motives -- William J. Clinton's,6
13286,Media -- William J. Clinton's candidacy and,6
12960,"Early political roles -- Jimmy Carter, William J. Clinton, and Ronald Reagan's governorships",12
12899,Decisions/decision making -- William J. Clinton's,6
12825,"Clinton, William J. -- ""yes and"" approach to public policy",9
12824,"Clinton, William J. -- wish to have it both ways",9
34707,"Clinton, William J., psychology of -- view of own values",9
34706,"Clinton, William J., psychology of -- view of own character integrity",10
34705,"Clinton, William J., psychology of -- view of own ambitions",9
34704,"Clinton, William J., psychology of -- verbal ability",7
34703,"Clinton, William J., psychology of -- use of loopholes",8
34702,"Clinton, William J., psychology of -- use of connections",8
34701,"Clinton, William J., psychology of -- trust in others",8
34700,"Clinton, William J., psychology of -- taking responsibility",7
34699,"Clinton, William J., psychology of -- success of, political",8
34698,"Clinton, William J., psychology of -- success of, paradoxical consequences",9
34697,"Clinton, William J., psychology of -- success of, academic",8
34696,"Clinton, William J., psychology of -- success, importance of, to",9
34695,"Clinton, William J., psychology of -- substantial talents of",8
34694,"Clinton, William J., psychology of -- strategic empathy and",8
34692,"Clinton, William J., psychology of -- short-term flexibility of",9
34691,"Clinton, William J., psychology of -- sense of own correctness",9
34690,"Clinton, William J., psychology of -- sense of being special",9
34689,"Clinton, William J., psychology of -- self-imposed deadlines and",9
34688,"Clinton, William J., psychology of -- self-idealization",7
34687,"Clinton, William J., psychology of -- self-confidence",7
34686,"Clinton, William J., psychology of -- self-absorption",7
34684,"Clinton, William J., psychology of -- Rolling Stone interview and",9
34682,"Clinton, William J., psychology of -- risk taking",7
34681,"Clinton, William J., psychology of -- response to others when they don't agree and",13
34680,"Clinton, William J., psychology of -- response to 1994 election and",10
34679,"Clinton, William J., psychology of -- resemblance to Richard Nixon",9
34678,"Clinton, William J., psychology of -- relationship with the media",9
34677,"Clinton, William J., psychology of -- relationship with Hillary Clinton",9
34676,"Clinton, William J., psychology of -- rectifying errors",7
34675,"Clinton, William J., psychology of -- reconciling Left-Right issues",9
34674,"Clinton, William J., psychology of -- questions regarding core values",9
34672,"Clinton, William J., psychology of -- public's strong ambivalent feelings toward",10
34671,"Clinton, William J., psychology of -- public's hopes for",8
34670,"Clinton, William J., psychology of -- public's distrust of",8
34673,"Clinton, William J., psychology of -- promise of",7
34668,"Clinton, William J., psychology of -- popular vote of, in 1992",10
34667,"Clinton, William J., psychology of -- political identity of",8
34666,"Clinton, William J., psychology of -- persistence of",7
34665,"Clinton, William J., psychology of -- permanent campaign and",8
34662,"Clinton, William J., psychology of -- need to be liked, difficulties of theory and",13
34661,"Clinton, William J., psychology of -- need to be liked",9
34663,"Clinton, William J., psychology of -- need for validation",8
34660,"Clinton, William J., psychology of -- need for approval",8
34659,"Clinton, William J., psychology of -- NAFTA and",7
34658,"Clinton, William J., psychology of -- movement toward others",8
34657,"Clinton, William J., psychology of -- mother as ""character"" and",9
34656,"Clinton, William J., psychology of -- meeting John F. Kennedy and",10
34653,"Clinton, William J., psychology of -- investment in his activities",9
34652,"Clinton, William J., psychology of -- intense but episodic interests",9
34651,"Clinton, William J., psychology of -- intelligence, limits of",8
34650,"Clinton, William J., psychology of -- intelligence",6
34649,"Clinton, William J., psychology of -- indecisiveness, and ""unveto"" story",9
34648,"Clinton, William J., psychology of -- inconsistencies",6
34647,"Clinton, William J., psychology of -- impressive memory",7
34646,"Clinton, William J., psychology of -- impatience",6
34645,"Clinton, William J., psychology of -- identification with the public",9
34644,"Clinton, William J., psychology of -- honesty",6
34643,"Clinton, William J., psychology of -- grandiosity",6
34642,"Clinton, William J., psychology of -- funds to support Arkansas legislative program as governor and",14
34641,"Clinton, William J., psychology of -- ""Friends of Bill"" and",9
34640,"Clinton, William J., psychology of -- foreign policy and",8
34639,"Clinton, William J., psychology of -- fidelity to others",8
34638,"Clinton, William J., psychology of -- fidelity to ideals",8
34637,"Clinton, William J., psychology of -- excitement of working for",9
34636,"Clinton, William J., psychology of -- enormous appetites",7
34635,"Clinton, William J., psychology of -- energy",6
34634,"Clinton, William J., psychology of -- empathy",6
34633,"Clinton, William J., psychology of -- early ambition",7
34632,"Clinton, William J., psychology of -- difficulties in maintaining boundaries and limits",11
34631,"Clinton, William J., psychology of -- difficulties in being prepared",9
34630,"Clinton, William J., psychology of -- desire to be in charge",10
34629,"Clinton, William J., psychology of -- decision to run against George Bush",11
34628,"Clinton, William J., psychology of -- controversial nature of his presidency",10
34627,"Clinton, William J., psychology of -- competitiveness",6
34626,"Clinton, William J., psychology of -- commitment to change",8
34624,"Clinton, William J., psychology of -- chemistry, importance of",8
34623,"Clinton, William J., psychology of -- charm",6
34622,"Clinton, William J., psychology of -- character integrity",7
34620,"Clinton, William J., psychology of -- capacity to be alone",9
34621,"Clinton, William J., psychology of -- capacity for introspection",8
34619,"Clinton, William J., psychology of -- capability of making basic errors",10
34617,"Clinton, William J., psychology of -- candor",6
34618,"Clinton, William J., psychology of -- campaign promises and",8
34616,"Clinton, William J., psychology of -- belief that he knows what is best",12
34615,"Clinton, William J., psychology of -- belief that he can convince others",11
34614,"Clinton, William J., psychology of -- bargaining skills",7
34613,"Clinton, William J., psychology of -- backtracking",6
34612,"Clinton, William J., psychology of -- attention to details",8
34708,"Clinton, William J., psychology of -- as wishing to have it both ways",12
34693,"Clinton, William J., psychology of -- as skilled political strategist",9
34685,"Clinton, William J., psychology of -- as Roosevelt",7
34683,"Clinton, William J., psychology of -- as robust and complex",9
34669,"Clinton, William J., psychology of -- as pragmatic leader",8
34655,"Clinton, William J., psychology of -- as masked active-negative type",10
34654,"Clinton, William J., psychology of -- as kaleidoscope",7
34625,"Clinton, William J., psychology of -- as ""comeback kid""",8
34611,"Clinton, William J., psychology of -- appointment of Lani Guinier and",10
34610,"Clinton, William J., psychology of -- appointment of Henry Foster, Jr., and",11
34609,"Clinton, William J., psychology of -- anger",6
34608,"Clinton, William J., psychology of -- ambition",6
34607,"Clinton, William J., psychology of -- aides' views of core values",10
34606,"Clinton, William J., psychology of -- activity levels, psychological meaning of",10
34605,"Clinton, William J., psychology of -- activity levels",7
34604,"Clinton, William J., psychology of -- activities in high school and",10
34603,"Clinton, William J., psychology of -- activities at Georgetown and",9
34602,"Clinton, William J., psychology of -- achievement motivation",7
34601,"Clinton, William J., psychology of -- accomplishments as ""educational governor"" and",10
34600,"Clinton, William J., psychology of -- abusiveness with aides",8
34599,"Clinton, William J., psychology of -- ability to learn from mistakes",10
34598,"Clinton, William J., psychology of -- ability to focus",8
34597,"Clinton, William J., psychology of -- ability to do several things at once",12
34664,"Clinton, William J., psychology of -- 1994 election as a repudiation of",11
34596,"Clinton, William J., psychology of",5
12823,"Clinton, William J. -- problems of public trust and",8
34768,"Clinton, William J., presidency of -- Whitewater investigations and",8
34767,"Clinton, William J., presidency of -- use of questionable financial calculations for public policies",13
34766,"Clinton, William J., presidency of -- ""trust deficit"" and",8
34765,"Clinton, William J., presidency of -- ""triangulation"" strategy",7
34764,"Clinton, William J., presidency of -- staff as serving not constraining",10
34763,"Clinton, William J., presidency of -- skill in selling programs",9
34762,"Clinton, William J., presidency of -- shifting public response to",9
34761,"Clinton, William J., presidency of -- selling policies versus educating the public",11
34760,"Clinton, William J., presidency of -- selection of advisors on the basis of chemistry",13
34759,"Clinton, William J., presidency of -- role of political consultants",9
34758,"Clinton, William J., presidency of -- resolving policy dilemmas",8
34757,"Clinton, William J., presidency of -- public's hopes for",8
34756,"Clinton, William J., presidency of -- problem of focus",8
34755,"Clinton, William J., presidency of -- post cold-war period and",10
34754,"Clinton, William J., presidency of -- possible nature of a second term",11
34753,"Clinton, William J., presidency of -- possibility of statement in a second term",12
34752,"Clinton, William J., presidency of -- political center and",8
34751,"Clinton, William J., presidency of -- persistence and determination",8
34750,"Clinton, William J., presidency of -- paradox of legislative success and public doubt",12
34749,"Clinton, William J., presidency of -- order banning replacement of striking workers",11
34747,"Clinton, William J., presidency of -- mismatch between administration and public ambitions",11
34746,"Clinton, William J., presidency of -- lost opportunities of first term",10
34745,"Clinton, William J., presidency of -- legal defense fund set up for",11
34744,"Clinton, William J., presidency of -- lack of trust in public",10
34743,"Clinton, William J., presidency of -- institutional setting and",8
34742,"Clinton, William J., presidency of -- inexperience of White house aides",10
34741,"Clinton, William J., presidency of -- inconsistent policy stands",8
34740,"Clinton, William J., presidency of -- foreign policy advisors and problems of collegiality",12
34739,"Clinton, William J., presidency of -- forced resignation of key administration officials",11
34738,"Clinton, William J., presidency of -- evidence of expansive thinking",9
